Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
Tonga National Infrastructure Investment Plan 2013 -2023,2013,TONGA,"This National Infrastructure Investment Plan (NIIP) outlines the Government of Tonga’s priorities and plans for major initiatives in economic infrastructure (energy, telecommunications, water, solid waste management, and transport) over five to ten years-time period. The aim of the NIIP is to identify and prioritise the package of infrastructure investments which best meets Tonga's needs in coming years, and to plan for the funding and implementation of these investments. Energy is the priority Area 3 and it addresses: Energy security; Renewable energy for energy security to enhance our economic growth, social development; and environmental integrity.",https://policy.asiapacificenergy.org/node/2686,National,Plan/Strategy,"Energy, Power, Transport, Multi-Sector, Other","Power, Renewable, Bioenergy, Hydropower, Solar, Wave and Tidal, Wind, Other",APEP
Energy Road Map (TERM) Review/Implementation Report 2010/2014,2010,TONGA,"This Progress Report provides an introduction to the Tonga Energy Road Map (TERM) and a report on its activities and discusses performance outcomes, way forward and lessons learned. Phase 0 activities were intended to be delivered within an 18-month period from the launch of the roadmap (TERM) in June 2010. However, given the complexity and challenges in the operating environment, this has been delayed. Despite this, GoT continued to show political will and significant progress was made with creation of the Department of Energy (DoE) in July 2014 as the institutional structure of TERM. With the support of the World Bank (WB), an Energy Bill is also expected to be completed during 2015. Phase 1 activities are well underway, particularly in commissioning solar photovoltaic (PV) plants while Phase 2 activities hinges on the successful delivery of Phase 0 activities, except for the launch of the Tonga Green Incentive Fund which was dropped in 2012.",https://policy.asiapacificenergy.org/node/2685,National,Government Report,"Energy, Power, Transport","All, Power, Renewable, Bioenergy, Hydropower, Solar, Wave and Tidal, Wind, Other",APEP
Customs and Excise Act (Chapter 67) (1988 Ed.),1988,TONGA,This Act deals with the collection of the revenue and management of customs and excise.,https://policy.asiapacificenergy.org/node/2684,National,Act,"Energy, Multi-Sector",Oil,APEP
Petroleum (Amendment) Act No. 20 of 1997,1997,TONGA,An Act to amend the Petroleum Act.,https://policy.asiapacificenergy.org/node/2683,National,Act,Energy,Oil,APEP
Petroleum Act (Chapter 46.06) (2016 Ed.),2016,TONGA,This act regulates the storage and carriage of petroleum.,https://policy.asiapacificenergy.org/node/2682,National,Act,Energy,Oil,APEP
"35,000 MW for Indonesia Program",2015,INDONESIA,"This electrification program is a strategic national program as stated in the National Mid-Term Development Plan 2015-2019. Power outages in almost all areas are caused by a power shortage. Special attention should be paid to this in order to avoid a power crisis within the next three to four years. This would result in a decrease of industrial competitiveness and slow down economic growth. Therefore, the government has no option but to increase power capacity by 35,000MW.",https://policy.asiapacificenergy.org/node/2681,National,Programme,Power,Power,APEP
Notice No. 9 of 2011 on the Management of Biomass Power Generation Project Construction,2010,CHINA,"Biomass power generation is an important form of bio-energy. In recent years, China’s biomass power generation has achieved a certain level of development, nevertheless, biomass penetration is insufficient due to the lack of management experience, planning and other types of preliminary work. Currently, biomass power generation is still confronted with insufficient fuel supplies, price pressures, difficult-to-control power generation costs and other problems, influencing the expansion of biomass power generation. This notice aims to strengthen management and related requirements for biomass power generation project construction and advance the development of biomass power generation.",https://policy.asiapacificenergy.org/node/2680,National,Other,"Energy, Power","Power, Renewable, Bioenergy",APEP
National Infrastructure Investment Plan 2015,2015,COOK ISLANDS,"The Cook Islands National Infrastructure Investment Plan (CI NIIP) outlines the Cook Islands’ priorities and plans for major infrastructure over the next 10 years. CI NIIP was assembled through a consultative process involving a wide range of stakeholders, including government, international agencies, civil society and the private sector. CI NIIP covers the following infrastructure sub-sectors: 􀂃 Air transport 􀂃 Marine transport 􀂃 Road transport 􀂃 Water supply 􀂃 Sanitation 􀂃 Solid waste management 􀂃 Energy 􀂃 Telecommunications and information technology 􀂃 Education 􀂃 Health 􀂃 Other infrastructure (such as government offices). The aim of CI NIIP is to identify and prioritise the package of infrastructure investments which best meets Cook Islands’ needs in coming years, and to plan for the funding and implementation of these investments.",https://policy.asiapacificenergy.org/node/2679,National,Plan/Strategy,"Power, Multi-Sector","Power, Renewable, Solar, Other",APEP
National Energy Policy and Action Plan (NEPAP) 2016,2016,MARSHALL ISLANDS,"This document was developed through an inclusive process and it expresses the RMI’s commitment towards a new energy direction and serves as the foundation for planning and development in the energy sector over the medium term. The policy and action plan is an output of the review of the National Energy Policy and Energy Action Plan 2009 and is aligned to the Strategic Development Plan Framework 2003–2018: Vision 2018 of: “an improved quality of life for the people of the Republic of the Marshall Islands (RMI) through clean, reliable, affordable, accessible, environmentally appropriate and sustainable energy services”. The 2009 NEP targets or goals are still relevant. However, they are further strengthened in this policy including to supply 100% of urban households with electricity by 2015; to provide 95% of rural outer atoll households with off grid electricity by 2015; as well as to provide access to modern forms of cooking to 90% of all households by 2020. Also, the policy aims to reach 20% of power generation through indigenous renewable resources by 2020.",https://policy.asiapacificenergy.org/node/2678,National,"Overarching Policy, Plan/Strategy","Energy, Power, Transport, Building, Multi-Sector, Other","All, Oil, Power, Renewable, Bioenergy, Solar, Wave and Tidal, Wind, Other",APEP
Public Private Partnership Act 2014 (Act No. 30 of 2014),2014,PAPUA NEW GUINEA,"This Act aims to provide for (a) the procurement and delivery of infrastructure facilities and services through public private partnership arrangements and to give power to certain public bodies to enter into public private partnership arrangements; (b) the establishment of the Public Private Partnership center of Papua New Guinea and the functions of which include the promotion, coordination and analysis of public private partnership arrangements; ( c) the establishment of the Public Private Partnership Steering Group and the Public Private Partnership Forum; (d) the specification of their respective functions and powers, and for related purposes.",https://policy.asiapacificenergy.org/node/2677,National,Act,"Power, Multi-Sector","Power, Gas",APEP
